recall_id,recall_number,recall_date,year,title,segment,is_childrens,hazard_category,is_violation,injuries_reported,units,price_usd,sales_channel,n_countries,countries,primary_country,remedy_options,main_fiber,url
6491,15226,2015-08-26,2015,CAMP USA Recalls Tour Nanotech Crampons Due to Fall Hazard,apparel,False,fall_slip,False,False,500.0,220.0,mixed,1,Italy,Italy,Replace,,https://www.cpsc.gov/Recalls/2015/CAMP-USA-Recalls-Tour-Nanotech-Crampons
6501,15233,2015-09-04,2015,The James Trading Group Recalls Kids Sports Hoodie Due to Strangulation Hazard,apparel,True,drawstring_strangulation,False,False,1200.0,20.0,mixed,1,China,China,Refund,cotton,https://www.cpsc.gov/Recalls/2015/The-James-Trading-Group-Recalls-Kids-Sports-Hoodie
6525,15254,2015-09-29,2015,Madewell Expands Recall of Women's Sandals Due to Fall Hazard,apparel,False,fall_slip,False,False,570.0,100.0,mixed,1,Brazil,Brazil,Refund,,https://www.cpsc.gov/Recalls/2015/Madewell-Expands-Recall-of-Womens-Sandals
6544,16011,2015-10-20,2015,Golden Horse Recalls Children's Denim Pants Due to Choking Hazard; Sold Exclusively at Belk Stores,apparel,True,choking_small_parts,False,False,8300.0,24.0,mixed,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2016/Golden-Horse-Recalls-Childrens-Denim-Pants
6559,16024,2015-10-29,2015,Maeli Rose Recalls Girls' Hoodies Due to a Strangulation Hazard,apparel,True,drawstring_strangulation,False,False,1200.0,20.0,store_only,1,China,China,Refund,polyester,https://www.cpsc.gov/Recalls/2016/Maeli-Rose-Recalls-Girls-Hoodies
6567,16029,2015-11-10,2015,Belle Investment Recalls Richie House Boys' Jackets Due to Entanglement Hazard,apparel,True,drawstring_strangulation,False,False,40.0,20.0,online_only,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2016/Belle-Investment-Recalls-Richie-House-Boys-Jackets
6609,16716,2015-12-22,2015,Victorian Trading Company Recalls Tealight Holders Due to Fire Hazard (Recall Alert),apparel,False,flammability_burn,False,True,1000.0,20.0,online_only,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2016/Victorian-Trading-Company-Recalls-Tealight-Holders
6616,16720,2016-01-07,2016,Zulily Recalls Children's Pajamas Due to Violation of Federal Flammability Standard (Recall Alert),apparel,True,flammability_burn,True,False,450.0,25.0,online_only,1,Mauritius,Mauritius,Refund,,https://www.cpsc.gov/Recalls/2016/Zulily-Recalls-Childrens-Pajamas
6627,16076,2016-01-19,2016,Walt Disney Parks and Resorts Recalls Infant Bodysuits Due to Choking Hazard,apparel,True,choking_small_parts,False,False,10000.0,20.0,store_only,1,Guatemala,Guatemala,Refund,,https://www.cpsc.gov/Recalls/2016/Walt-Disney-Parks-and-Resorts-Recalls-Infant-Bodysuits
6659,16106,2016-02-18,2016,Apple Recalls Travel Adapter Kits and Plugs Due to Risk of Electric Shock,apparel,False,other,False,True,814000.0,30.0,mixed,1,China,China,Replace,,https://www.cpsc.gov/Recalls/2016/Apple-Recalls-Travel-Adapter-Kits-and-Plugs
6660,16105,2016-02-18,2016,Snowboard Boots with Boa Secondary Reels Recalled by Boa Due to Fall Hazard,apparel,False,fall_slip,False,False,33000.0,100.0,mixed,1,China,China,Repair,,https://www.cpsc.gov/Recalls/2016/Snowboard-Boots-with-Boa-Secondary-Reels-Recalled-by-Boa
6662,16728,2016-02-18,2016,J. Crew Recalls Girls' Coats Due to Choking Hazard (Recall Alert),apparel,True,choking_small_parts,False,False,16400.0,155.0,mixed,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2016/J-Crew-Recalls-Girls-Coats
6690,16734,2016-03-31,2016,Creating X Recalls Children's Pajamas Due to Violation of Federal Flammability Standard (Recall Alert),apparel,True,flammability_burn,True,False,5400.0,20.0,mixed,1,China,China,Replace,cotton,https://www.cpsc.gov/Recalls/2016/Creating-X-Recalls-Childrens-Pajamas
6695,16135,2016-04-05,2016,Eleanor Rose Recalls Children’s Loungewear Due to Violation of Federal Flammability Standard,apparel,True,flammability_burn,True,False,5900.0,30.0,online_only,1,El Salvador,El Salvador,Refund,,https://www.cpsc.gov/Recalls/2016/Eleanor-Rose-Recalls-Childrens-Loungewear
